"","id","training_condition","attempt","role","future_role","partner","training","training_encounter","others_encounter","strategy_accept","strategy_reject","all_correct"
"215","id0177","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $4",1
"216","id0179","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"217","id0179","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"218","id0180","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $6",0
"219","id0180","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $4",0
"220","id0180","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $3",0
"221","id0180","training_receiver_self",5,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $5",0
"222","id0180","training_receiver_self",6,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $5",1
"223","id0180","training_receiver_self",4,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $5",0
"224","id0181","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"225","id0182","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"226","id0183","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"227","id0184","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","I will be training an AI to propose offers. ","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",0
"228","id0184","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to propose offers. ","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $3",0
"229","id0184","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $2",1
"230","id0185","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"231","id0185","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"232","id0186","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"233","id0187","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"234","id0188","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $6",1
"235","id0189","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $4",1
"236","id0190","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $1",1
"237","id0191","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"238","id0191","control",2,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"239","id0191","control",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"240","id0192","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"241","id0193","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"242","id0194","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to propose offers. ","Yes","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $5",0
"243","id0194","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",1
"244","id0194","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $6",0
"245","id0195","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $6",1
"246","id0196","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"247","id0197","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"248","id0198","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $6",1
"249","id0199","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $2",1
"250","id0200","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"251","id0200","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $5",0
"252","id0201","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"253","id0202","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $1",1
"254","id0203","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"255","id0204","control",1,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"256","id0204","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"257","id0205","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"258","id0206","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"259","id0207","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $3",0
"260","id0207","training_receiver_self",3,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $1",0
"261","id0207","training_receiver_self",2,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will not learn anything.",0
"262","id0207","training_receiver_self",4,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $5",1
"263","id0208","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $6",1
"264","id0209","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"265","id0210","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"266","id0211","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $4","The AI responder will learn to reject $3",0
"267","id0211","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $4",1
"268","id0212","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"269","id0213","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"270","id0214","control",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"271","id0214","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"272","id0215","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"273","id0217","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $2",0
"274","id0217","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"275","id0218","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $4",0
"276","id0218","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $5",1
"277","id0219","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"278","id0220","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"279","id0221","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"280","id0222","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"281","id0223","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"282","id0223","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $4",0
"283","id0224","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"284","id0225","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $4",1
"285","id0226","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"286","id0227","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $1",1
"287","id0228","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"288","id0229","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"289","id0230","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"290","id0231","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"291","id0232","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","No","The AI responder will learn to accept $3","The AI responder will learn to accept $6",0
"292","id0232","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $3",1
"293","id0233","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","No","The AI responder will learn to accept $5","The AI responder will learn to reject $2",0
"294","id0233","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","No","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $3",0
"295","id0233","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $3",1
"296","id0234","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"297","id0235","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","No","The AI responder will learn to accept $4","The AI responder will learn to reject $1",0
"298","id0235","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"299","id0236","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $1","The AI responder will learn to reject $1",0
"300","id0236","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $4",1
"301","id0237","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"302","id0240","control",1,"I will be proposing offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"303","id0240","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"304","id0241","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"305","id0242","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $2",1
"306","id0243","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"307","id0244","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $6",1
"308","id0245","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"309","id0246","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $6",1
"310","id0247","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $6",1
"311","id0249","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $1",1
"312","id0250","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"313","id0251","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"314","id0252","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","No","The AI responder will learn to accept $3","The AI responder will learn to reject $5",0
"315","id0252","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $3",1
"316","id0254","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"317","id0255","training_receiver_self",1,"I will be proposing offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","No","The AI responder will not learn anything.","The AI responder will learn to accept $6",0
"318","id0255","training_receiver_self",2,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $2",0
"319","id0255","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $6",0
"320","id0255","training_receiver_self",4,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $1",0
"321","id0255","training_receiver_self",5,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $4",1
